oid,organization,idate,county,outreachsite,activity,activityspecify,maleadult,maleyouth,femaleadult,femaleyouth,discussiontopic,flyers,brochures,posters,booklets,stickers,others
AF682C59-1F98-42C2-BB50-0001382866EF,MSK=2,27/09/2012,BUTULA,MARACHI EAST,6=Other(Specify),PMTC MOTHERS,4,0,29,2,IMPORTANCE OF FP,0,30,2,0,0,0
85B8F5E7-938D-4A78-80BC-0005113C2004,MSK=2,20/03/2013,BUTULA,MISSING,4=Theater Groups,,0,0,21,10,IMPORTANCE OF FAMILY PLANNING,0,0,0,0,0,0
047E2309-D22B-4147-8E73-000AB0FE3E10,MSK=2,22/11/2014,TESO NORTH,KAESET AREA,2=Womens Group Meetings,,2,1,20,12,FP,0,0,0,0,0,0
6611C4BF-F71D-45AB-8EB7-000D1B919C94,MSK=2,11/05/2013,NAMBALE,TUSHIKANE PAMIOJA YOUTHS,3=Youth Groups,,0,7,0,5,CONDOM USE,0,0,0,0,0,0
BBC23F8E-5C3F-452B-AFEC-00102B691632,FHOK=1,24/06/2014,SIAYA,MARTIN' SHOME,3=Youth Groups,,0,0,14,20,BENEFIT OF MALE INVOLVEMENT IN FP,0,0,0,0,0,0
ED112EA8-A29F-42A1-96F8-0019E8C7D2B8,FHOK=1,07/03/2015,BONDO,NYAMANGA LEARNING RESOURCE,3=Youth Groups,,0,17,0,25,SIGNS AND SYPMTOMS OF STI,0,0,0,0,0,0
57C4A92E-1DA1-4DF9-8C6E-001AB554CD49,MSK=2,26/01/2014,TESO SOUTH,CHURCH GROUP,6=Other(Specify),CHURCH GROUP,20,54,83,27,"MALARIA , NUTRITION",0,0,0,0,0,0
AC166635-FE89-4313-9FAF-001B1FF51165,MSK=2,20/11/2012,TESO NORTH,CHANGARA,2=Womens Group Meetings,,0,0,30,0,F/P,0,40,40,0,0,0
4F5519A4-F8B8-4634-B454-001D55151359,MSK=2,19/05/2015,TESO SOUTH,KATILEM,3=Youth Groups,,0,20,0,29,HIV AND AIDS,0,0,0,0,0,0
9919BD6A-AEAC-46BE-9480-0023BE9A149E,FHOK=1,28/07/2014,SIAYA,MISSING,1=Comunity Meeting/Barazas,,40,20,60,120,FP,0,0,0,0,0,0
C662A0BD-498A-43FF-B973-002AD03DA00F,MSK=2,10/11/2014,TESO NORTH,ACK,1=Comunity Meeting/Barazas,,40,15,50,20,F/P,0,0,0,0,0,0
C5CD71C8-8AE7-437E-B1DC-0031E6625D9D,FHOK=1,21-10-2014,SIAYA,ORIANG MONYE,2=Womens Group Meetings,,0,0,12,10,WATER TREATMENT WITH PUR AND WATER GUARD,0,0,0,0,0,0
8595A361-D8D5-495D-92C3-003773A4DA5B,MSK=2,05/09/2013,TESO NORTH,MARMBE WOMEN GROUP,2=Womens Group Meetings,,21,18,36,40,FP METHOD AND HOW EACH WORKS,0,0,0,0,0,0
AB0DD983-665C-4A09-9469-00453BFF2F8B,MSK=2,10/12/2013,SAMIA,MISSING,4=Theater Groups,,1,5,8,4,METHODS OF FP,0,0,10,0,0,0
95547A8E-433C-423F-8EDC-004CA41B109C,MSK=2,24/06/2014,NAMBALE,NAMBALE,2=Womens Group Meetings,,0,0,30,8,F.P,0,0,0,0,0,0
5C36871F-6A08-4F2C-BCA5-0054EA5297F2,FHOK=1,06/05/2014,BONDO,GOT NYAPONG,6=Other(Specify),VASL SUPPORT GROUP,3,0,16,0,BENEFITS OF FP,0,0,0,0,0,0
330BEB24-4588-498E-8D7A-005A9829ADFA,MSK=2,11-03-2015,SAMIA,MISSING,2=Womens Group Meetings,,7,0,15,4,MALARIA IN PREGNACY,0,0,3,0,0,0
9A8F762E-7538-4FE3-A816-006160DCD7BA,FHOK=1,07/04/2015,BONDO,WUOTH GA DIERA,2=Womens Group Meetings,,2,3,13,9,FP AND PREVENTION OF MALARIA,12,8,6,1,2,0
89783A6C-3FAE-4958-9E55-0063B92D459B,FHOK=1,19/10/2012,SIAYA,CENTRAL ALEGO,1=Comunity Meeting/Barazas,,18,2,26,6,HEALTH ISSUES,0,0,0,0,0,0
E8B82081-7848-4BEE-8E10-0064C1B3F323,MSK=2,12/01/2015,BUTULA,MAUKO MARKET,5=FBO services,,50,20,150,50,MALARIA KILLS,0,0,0,0,0,0
FA2B97F6-4F71-4298-8C04-0069440BA650,MSK=2,26/02/2015,SIAYA,BARAZA,1=Comunity Meeting/Barazas,,9,5,12,4,F/P,0,0,0,0,0,0
74265E63-E40A-481B-86CE-006DF1FE35D9,MSK=2,16/05/2014,BUSIA,SEREPTA MUSOMA,2=Womens Group Meetings,,0,0,7,1,BENEFITS OF IUCD METHODS,0,0,0,0,0,0
92C41504-D357-4760-B869-0075F8DD7958,MSK=2,26/10/2014,BUSIA,MISSING,1=Comunity Meeting/Barazas,,40,20,50,15,F/P,0,0,0,0,0,0
7EDEBBA2-9D68-453D-B8CB-007ACE15CC45,FHOK=1,25/10/2014,SIAYA,NUBWIRA,2=Womens Group Meetings,,30,5,20,15,F.P,0,0,0,0,0,0
CD75C641-9E11-4A0F-B1A1-0086F136831C,MSK=2,11/10/2012,TESO NORTH,KOCHOLYA,2=Womens Group Meetings,MISSING,4,2,7,6,IMPORTANCE OF FP,0,0,6,0,0,0
FD189D33-4D3E-4F53-B556-008C8A74209C,MSK=2,21/01/2013,BUTULA,MARACHI CENTRAL,3=Youth Groups,,0,3,0,3,FAMILY PLANNING,0,0,0,0,0,0
EB78CE21-2E70-482D-9308-008CF16C37B6,FHOK=1,03/11/2013,SIAYA,INJILI TAKATIFU,5=FBO services,,53,12,89,16,FP,0,0,0,0,0,0
0108328F-A71A-4590-A34C-008DC3762421,MSK=2,27/02/2014,BUSIA,TEMAKHO,2=Womens Group Meetings,,3,2,12,16,FAMILY PLANNING,0,0,0,0,0,0
4A027F59-1F1E-468B-B22D-0090DE6DC0DD,FHOK=1,30/04/2014,BONDO,NYANGOMA,2=Womens Group Meetings,,5,0,20,3,F.P,0,0,0,0,0,0
